timestamp,period_start,load,temperature,day_name,hour,tail
2011-08-27 12:00:00,2011-08-27 11:00:00,50.300000,76.960000,Saturday,11,low
2006-10-03 05:00:00,2006-10-03 04:00:00,51.900000,52.480000,Tuesday,4,low
2011-08-28 13:00:00,2011-08-28 12:00:00,52.100000,84.400000,Sunday,12,low
2011-08-29 03:00:00,2011-08-29 02:00:00,52.200000,68.040000,Monday,2,low
2006-10-03 01:00:00,2006-10-03 00:00:00,53.100000,55.000000,Tuesday,0,low
2011-08-29 06:00:00,2011-08-29 05:00:00,54.300000,66.680000,Monday,5,low
2011-08-29 07:00:00,2011-08-29 06:00:00,56.000000,66.080000,Monday,6,low
2011-08-29 02:00:00,2011-08-29 01:00:00,56.500000,68.920000,Monday,1,low
2011-08-28 14:00:00,2011-08-28 13:00:00,57.400000,85.880000,Sunday,13,low
2006-10-03 00:00:00,2006-10-02 23:00:00,59.000000,55.880000,Monday,23,low
2011-08-27 11:00:00,2011-08-27 10:00:00,59.200000,76.800000,Saturday,10,low
2011-08-29 08:00:00,2011-08-29 07:00:00,59.900000,68.560000,Monday,7,low
2006-10-03 06:00:00,2006-10-03 05:00:00,61.900000,52.480000,Tuesday,5,low
2011-08-28 15:00:00,2011-08-28 14:00:00,62.300000,86.960000,Sunday,14,low
2011-08-29 01:00:00,2011-08-29 00:00:00,62.400000,70.080000,Monday,0,low
2006-10-03 11:00:00,2006-10-03 10:00:00,64.200000,72.360000,Tuesday,10,low
2009-04-11 04:00:00,2009-04-11 03:00:00,64.400000,58.320000,Saturday,3,low
2006-10-03 10:00:00,2006-10-03 09:00:00,64.400000,67.360000,Tuesday,9,low
2005-01-14 04:00:00,2005-01-14 03:00:00,64.800000,65.680000,Friday,3,low
2009-04-11 05:00:00,2009-04-11 04:00:00,64.900000,57.920000,Saturday,4,low
2005-04-07 04:00:00,2005-04-07 03:00:00,65.300000,61.680000,Thursday,3,low
2005-04-08 04:00:00,2005-04-08 03:00:00,65.700000,61.240000,Friday,3,low
2005-01-14 03:00:00,2005-01-14 02:00:00,65.800000,66.200000,Friday,2,low
2005-04-07 03:00:00,2005-04-07 02:00:00,65.800000,62.000000,Thursday,2,low
2005-04-20 04:00:00,2005-04-20 03:00:00,65.800000,58.960000,Wednesday,3,low
2005-04-22 04:00:00,2005-04-22 03:00:00,66.200000,57.280000,Friday,3,low
2005-04-08 03:00:00,2005-04-08 02:00:00,66.300000,61.640000,Friday,2,low
2006-03-13 04:00:00,2006-03-13 03:00:00,66.300000,62.080000,Monday,3,low
2005-04-20 03:00:00,2005-04-20 02:00:00,66.500000,59.640000,Wednesday,2,low
2006-10-03 12:00:00,2006-10-03 11:00:00,66.500000,75.520000,Tuesday,11,low
2005-01-14 05:00:00,2005-01-14 04:00:00,66.700000,64.600000,Friday,4,low
2005-04-08 05:00:00,2005-04-08 04:00:00,66.700000,61.000000,Friday,4,low
2005-04-22 03:00:00,2005-04-22 02:00:00,66.700000,58.000000,Friday,2,low
2005-05-17 04:00:00,2005-05-17 03:00:00,66.700000,59.520000,Tuesday,3,low
2006-03-14 04:00:00,2006-03-14 03:00:00,66.700000,64.920000,Tuesday,3,low
2010-06-24 15:00:00,2010-06-24 14:00:00,299.800000,94.960000,Thursday,14,high
2011-08-09 18:00:00,2011-08-09 17:00:00,299.800000,90.480000,Tuesday,17,high
2007-08-08 16:00:00,2007-08-08 15:00:00,299.900000,96.760000,Wednesday,15,high
2010-07-22 18:00:00,2010-07-22 17:00:00,300.100000,91.440000,Thursday,17,high
2010-08-10 18:00:00,2010-08-10 17:00:00,300.400000,89.880000,Tuesday,17,high
2010-07-07 17:00:00,2010-07-07 16:00:00,300.400000,96.640000,Wednesday,16,high
2009-01-17 08:00:00,2009-01-17 07:00:00,300.600000,14.280000,Saturday,7,high
2011-08-08 18:00:00,2011-08-08 17:00:00,300.900000,91.440000,Monday,17,high
2010-07-25 14:00:00,2010-07-25 13:00:00,300.900000,94.400000,Sunday,13,high
2010-07-07 18:00:00,2010-07-07 17:00:00,301.000000,95.680000,Wednesday,17,high
2010-06-23 17:00:00,2010-06-23 16:00:00,301.200000,90.680000,Wednesday,16,high
2010-08-11 15:00:00,2010-08-11 14:00:00,301.300000,92.920000,Wednesday,14,high
2011-07-28 18:00:00,2011-07-28 17:00:00,301.400000,92.400000,Thursday,17,high
2009-08-10 17:00:00,2009-08-10 16:00:00,301.500000,93.000000,Monday,16,high
2011-07-24 17:00:00,2011-07-24 16:00:00,301.800000,88.480000,Sunday,16,high
2011-07-22 14:00:00,2011-07-22 13:00:00,302.200000,95.160000,Friday,13,high
2011-07-21 16:00:00,2011-07-21 15:00:00,302.400000,93.000000,Thursday,15,high
2009-08-11 18:00:00,2009-08-11 17:00:00,302.600000,86.040000,Tuesday,17,high
2010-07-24 15:00:00,2010-07-24 14:00:00,303.100000,93.960000,Saturday,14,high
2010-12-14 08:00:00,2010-12-14 07:00:00,303.200000,19.760000,Tuesday,7,high
2007-08-08 19:00:00,2007-08-08 18:00:00,303.300000,92.800000,Wednesday,18,high
2010-12-14 07:00:00,2010-12-14 06:00:00,303.500000,19.000000,Tuesday,6,high
2010-01-11 07:00:00,2010-01-11 06:00:00,303.500000,16.960000,Monday,6,high
2010-01-11 08:00:00,2010-01-11 07:00:00,303.500000,18.200000,Monday,7,high
2011-07-23 18:00:00,2011-07-23 17:00:00,303.600000,87.000000,Saturday,17,high
2011-07-29 15:00:00,2011-07-29 14:00:00,303.700000,96.480000,Friday,14,high
2009-08-10 18:00:00,2009-08-10 17:00:00,303.800000,91.360000,Monday,17,high
2010-06-23 18:00:00,2010-06-23 17:00:00,304.000000,89.600000,Wednesday,17,high
2011-07-21 19:00:00,2011-07-21 18:00:00,304.500000,90.120000,Thursday,18,high
2011-07-23 15:00:00,2011-07-23 14:00:00,304.900000,94.160000,Saturday,14,high
2010-06-24 16:00:00,2010-06-24 15:00:00,305.200000,95.280000,Thursday,15,high
2007-08-08 17:00:00,2007-08-08 16:00:00,305.300000,96.880000,Wednesday,16,high
2010-06-24 19:00:00,2010-06-24 18:00:00,306.100000,91.160000,Thursday,18,high
2011-07-21 17:00:00,2011-07-21 16:00:00,306.300000,92.080000,Thursday,16,high
2010-07-25 15:00:00,2010-07-25 14:00:00,306.600000,95.480000,Sunday,14,high
2010-12-15 08:00:00,2010-12-15 07:00:00,306.900000,17.880000,Wednesday,7,high
2010-08-11 16:00:00,2010-08-11 15:00:00,307.000000,92.640000,Wednesday,15,high
2011-07-29 16:00:00,2011-07-29 15:00:00,307.300000,96.360000,Friday,15,high
2007-08-08 18:00:00,2007-08-08 17:00:00,307.400000,94.560000,Wednesday,17,high
2010-08-11 18:00:00,2010-08-11 17:00:00,307.900000,90.600000,Wednesday,17,high
2010-06-24 17:00:00,2010-06-24 16:00:00,308.200000,94.960000,Thursday,16,high
2011-07-29 19:00:00,2011-07-29 18:00:00,308.200000,93.440000,Friday,18,high
2011-07-23 16:00:00,2011-07-23 15:00:00,309.000000,92.080000,Saturday,15,high
2010-07-24 16:00:00,2010-07-24 15:00:00,309.100000,93.920000,Saturday,15,high
2011-07-22 15:00:00,2011-07-22 14:00:00,309.400000,94.120000,Friday,14,high
2010-07-25 19:00:00,2010-07-25 18:00:00,309.900000,91.320000,Sunday,18,high
2010-08-11 17:00:00,2010-08-11 16:00:00,310.000000,92.040000,Wednesday,16,high
2011-07-21 18:00:00,2011-07-21 17:00:00,310.100000,91.360000,Thursday,17,high
2011-07-23 17:00:00,2011-07-23 16:00:00,310.100000,88.200000,Saturday,16,high
2010-06-24 18:00:00,2010-06-24 17:00:00,310.200000,93.840000,Thursday,17,high
2011-07-22 19:00:00,2011-07-22 18:00:00,310.400000,89.880000,Friday,18,high
2010-07-24 19:00:00,2010-07-24 18:00:00,310.600000,90.080000,Saturday,18,high
2010-12-15 07:00:00,2010-12-15 06:00:00,311.300000,16.600000,Wednesday,6,high
2010-07-25 16:00:00,2010-07-25 15:00:00,311.400000,95.360000,Sunday,15,high
2011-07-29 17:00:00,2011-07-29 16:00:00,312.700000,96.280000,Friday,16,high
2010-07-24 17:00:00,2010-07-24 16:00:00,313.100000,93.760000,Saturday,16,high
2011-07-29 18:00:00,2011-07-29 17:00:00,314.100000,95.400000,Friday,17,high
2011-07-22 16:00:00,2011-07-22 15:00:00,314.200000,93.600000,Friday,15,high
2010-07-25 17:00:00,2010-07-25 16:00:00,315.100000,95.000000,Sunday,16,high
2010-07-24 18:00:00,2010-07-24 17:00:00,315.200000,92.400000,Saturday,17,high
2010-07-25 18:00:00,2010-07-25 17:00:00,315.600000,93.480000,Sunday,17,high
2011-07-22 18:00:00,2011-07-22 17:00:00,316.400000,91.560000,Friday,17,high
2011-07-22 17:00:00,2011-07-22 16:00:00,317.500000,92.320000,Friday,16,high
